Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,Question Number,Question Name,Row Number,Water security risk drivers,Anticipated timescale,Estimated magnitude of potential impact,Estimated probability of impact,Risk description
Cities 2021,1093,"City of Atlanta, GA",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Short-term (by 2025),Serious,,"The city depends on one river for water supply - the river has suffered from extreme droughts in previous years. Intensive rain fall has produced floods in the city affecting transportation, houses, and businesses"
Cities 2021,1093,"City of Atlanta, GA",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Higher water prices,Current,Serious,,The water cost burden is felt across all ZIP codes and but most seriously affects low-income residents and communities where they are located.
Cities 2021,1184,"City of Austin, TX",United States of America,North America,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Short-term (by 2025),Extremely serious,High,Central Texas is drought prone and we depend on surface water for 100% of our supply.  Recently lake levels fell to 30% of full in 2012 before receiving drought breaking rains
Cities 2021,1499,Ajuntament de Barcelona,Spain,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,1,Increased water stress,Current,Serious,Medium-high,"The downscaling of the climate projections at a local scale developed under the Climate Plan show that the rainfall reduction can be of 14% per annum in 2100 (RCP 4.5) or 26% (RCP 8.5). Referring to the temperature, it can increase 1.7ºC in 2100 (RCP 4.5) or 3ºC (RCP 8.5). We expect more heat waves during the summer jeopardizing water resources as tourism season increases the water demmand. Also watershed resources will decrease as snowfall preciptation is 50% to 90% less, depending on climate scenario projection. Also the evapotransipration from vegetation will increase triggering less water available in the watersheds."
Cities 2021,1499,Ajuntament de Barcelona,Spain,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,2,Declining water quality,Medium-term (by 2050),Less Serious,Medium,"A reduction in water resources availability  can also lead to a deterioration of its quality, for  a lower dilution of pollutants effect and / or higher salt intrusion in coastal aquifers due to the increase in sea level (European Environment Agency , 2007) , and this in turn can lead to difficulties and costs to ensure greater quality urban supplies. The downscaling of the climate projections at a local scale developed under the Climate Plan show that the rainfall’s  intensity will be increased. It can cause dysfunctions in the drainage system and direct discharges to the sea and affect the sea wàter quality.  In addition, the increase in sea level can cause dysfunctions in the overflows too."
Cities 2021,1499,Ajuntament de Barcelona,Spain,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,3,Severe weather events,Current,Serious,Medium-high,"In terms of water supply, rivers floods could affect water catchment facilities. Inside the city, Barcelona could be affected by floods because of lack of drainage capacity in some critical points in lower zones of the city.The downscaling of the climate projections at a local scale developed under the Climate Plan show that it is expected a Increased rainfall intensity and concentration of extreme events.The results obtained within the RESCCUE project framework confirm the trends and deploys a set of flood risk maps to assess basic services afectation and and cascade effects during flood events. The recently published PDISBA(comprehensive drainage master plan, 2020) introduces  a new urban drainage model updating the last one from 2006 caracterizing the full water and stormwater network, the design rainfalls, idf curves, affectation to people and properties, bathing water quality. The plan considers the climate change factors and has modeled diferent future adaptation scenarios for the city."
Cities 2021,1499,Ajuntament de Barcelona,Spain,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,4,Increased water scarcity,Current,Serious,Medium-high,"Climate Plan vulnerability assessement showed than in 2050 Barcelona will need 1,8hm3 of additional drinkable water. RESCCUE project climatic projections reavealed that temperatures will increase slightly but steadly over the next years, concentrating droughts with summer high temperatures aggravated by heat waves. Also a minor snowfall will decrease watershed resources."
Cities 2021,1499,Ajuntament de Barcelona,Spain,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,5,Increased water demand,Current,Less Serious,Medium-low,"Climate Plan vulnerability assessement showed that Barcelona will have a 4% of increase of demand, mainly due to tourism demmand"
Cities 2021,1499,Ajuntament de Barcelona,Spain,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,6,Drought,Current,Serious,Medium-high,"The city currently has a deficit in its water supply system, as the reosurces are less than, or very close to, the level of demand one year out of every four. At the moment this is being resolved with the reservoir reserves of previous years, but the guaranteed supply is only one year. Climate projections determine that future higher temperatures and precipitation reduction will increase the drought risk."
Cities 2021,1499,Ajuntament de Barcelona,Spain,Europe,14. Water Security,Water Supply,14.2a,Please identify the risks to your city’s water security as well as the timescale and level of risk.,7,Higher water prices,Current,Serious,Medium-high,"Barcelona’s adhesion to the Blue Communities network, for the promotion of public water and the consumption of tap water. https://ajuntament.barcelona.cat/premsa/2019/03/22/barcelona-es-tenyeix-de-blau-aquest-vespre-pel-dia-mundial-de-laigua-i-ho-celebra-dema-amb-una-festa/"
