,Unnamed: 0.1,Unnamed: 0,Year,State,Risk,value,State_name,Pop17,Pop18,Pop21,Precip17,Precip18,Precip21,Temp17,Temp18,Temp21
0,0,0,2021,AL,Change in land-use,1,Alabama,4874486,4887681,5039877.0,43.9,34.23,42.51,65.7,64.0,63.0
1,1,1,2017,CA,Declining water quality,1,California,39358497,39461588,39237836.0,23.85,12.1,7.6,59.1,59.4,59.8
2,2,2,2017,CO,Declining water quality,2,Colorado,5611885,5691287,5812069.0,13.21,8.84,11.26,47.6,47.7,45.5
3,3,3,2017,NV,Declining water quality,1,Nevada,2969905,3027341,3143991.0,8.34,6.17,4.78,51.7,52.0,52.2
4,4,4,2017,OH,Declining water quality,1,Ohio,11659650,11676341,11780017.0,30.85,28.4,23.57,53.5,50.9,50.8
5,5,5,2017,PA,Declining water quality,1,Pennsylvania,12787641,12800922,12964056.0,31.03,34.3,24.48,50.4,48.0,48.9
6,6,6,2017,TN,Declining water quality,1,Tennessee,6708799,6771631,6975218.0,34.68,39.17,35.3,60.8,58.5,57.4
7,7,7,2018,CA,Declining water quality,1,California,39358497,39461588,39237836.0,23.85,12.1,7.6,59.1,59.4,59.8
8,8,8,2018,LA,Declining water quality,1,Louisiana,4670560,4659690,4624047.0,41.07,33.36,46.69,69.3,67.6,65.7
9,9,9,2018,OH,Declining water quality,1,Ohio,11659650,11676341,11780017.0,30.85,28.4,23.57,53.5,50.9,50.8
10,10,10,2018,TN,Declining water quality,1,Tennessee,6708799,6771631,6975218.0,34.68,39.17,35.3,60.8,58.5,57.4
11,11,11,2021,CA,Declining water quality,1,California,39358497,39461588,39237836.0,23.85,12.1,7.6,59.1,59.4,59.8
12,12,12,2021,CO,Declining water quality,2,Colorado,5611885,5691287,5812069.0,13.21,8.84,11.26,47.6,47.7,45.5
13,13,13,2021,FL,Declining water quality,1,Florida,20963613,21244317,21781128.0,32.73,35.55,30.93,72.4,71.1,71.2
14,14,14,2021,NC,Declining water quality,1,North Carolina,10268233,10381615,10551162.0,30.43,33.27,31.86,61.5,59.4,58.6
15,15,15,2021,NJ,Declining water quality,1,New Jersey,8885525,8886025,9267130.0,29.35,32.62,27.6,53.9,52.3,53.0
16,16,16,2021,OH,Declining water quality,1,Ohio,11659650,11676341,11780017.0,30.85,28.4,23.57,53.5,50.9,50.8
17,17,17,2021,TN,Declining water quality,1,Tennessee,6708799,6771631,6975218.0,34.68,39.17,35.3,60.8,58.5,57.4
18,18,18,2021,WI,Declining water quality,1,Wisconsin,5790186,5807406,5895908.0,25.29,19.41,17.22,44.5,41.8,43.7
19,19,19,2021,CA,Drought,4,California,39358497,39461588,39237836.0,23.85,12.1,7.6,59.1,59.4,59.8
20,20,20,2021,CO,Drought,2,Colorado,5611885,5691287,5812069.0,13.21,8.84,11.26,47.6,47.7,45.5
21,21,21,2021,NM,Drought,1,New Mexico,2091784,2092741,2115877.0,8.11,5.09,7.56,56.3,56.5,54.2
22,22,22,2021,NV,Drought,2,Nevada,2969905,3027341,3143991.0,8.34,6.17,4.78,51.7,52.0,52.2
23,23,23,2021,UT,Drought,2,Utah,3101042,3153550,3337975.0,9.25,5.87,5.84,50.5,51.0,50.2
24,24,24,2021,MN,Ecosystem vulnerability,1,Minnesota,5566230,5606249,5707390.0,14.87,16.7,10.16,42.7,39.6,42.6
25,25,25,2018,HI,Energy supply issues,1,Hawaii,1424393,1420593,1441553.0,,,20.41,,,53.0
26,26,26,2021,HI,Energy supply issues,1,Hawaii,1424393,1420593,1441553.0,,,20.41,,,53.0
27,27,27,2021,NV,Energy supply issues,1,Nevada,2969905,3027341,3143991.0,8.34,6.17,4.78,51.7,52.0,52.2
28,28,28,2021,CA,Environmental regulations,1,California,39358497,39461588,39237836.0,23.85,12.1,7.6,59.1,59.4,59.8
29,29,29,2021,NV,Environmental regulations,1,Nevada,2969905,3027341,3143991.0,8.34,6.17,4.78,51.7,52.0,52.2
30,30,30,2017,CA,Flooding,2,California,39358497,39461588,39237836.0,23.85,12.1,7.6,59.1,59.4,59.8
31,31,31,2017,NV,Flooding,1,Nevada,2969905,3027341,3143991.0,8.34,6.17,4.78,51.7,52.0,52.2
