January - July 2018 Contiguous U.S. Statewide Precipitation
Units: Inches
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
0100,"Alabama",34.23,61,-1.06,35.29
0200,"Arizona",5.18,47,-1.23,6.41
0300,"Arkansas",34.48,99,3.96,30.52
0400,"California",12.1,52,-2.26,14.36
0500,"Colorado",8.84,14,-2.33,11.17
0600,"Connecticut",29.78,95,2.93,26.85
0700,"Delaware",32.17,119,6.67,25.5
0800,"Florida",35.55,104,4.47,31.08
0900,"Georgia",32.81,83,1.25,31.56
1000,"Idaho",14.63,70,0.13,14.5
1100,"Illinois",26.04,95,3.44,22.6
1200,"Indiana",28.81,110,4.51,24.3
1300,"Iowa",22.02,95,2.59,19.43
1400,"Kansas",15.33,43,-1.61,16.94
1500,"Kentucky",36.4,116,6.85,29.55
1600,"Louisiana",33.36,59,-1.55,34.91
1700,"Maine",25.07,83,1.41,23.66
1800,"Maryland",34.57,126,9.3,25.27
1900,"Massachusetts",29.57,105,3.96,25.61
2000,"Michigan",18.66,80,1.3,17.36
2100,"Minnesota",16.7,80,1.07,15.63
2200,"Mississippi",38.05,88,2.7,35.35
2300,"Missouri",22.71,47,-1.56,24.27
2400,"Montana",14.07,110,2.01,12.06
2500,"Nebraska",18.66,118,3.73,14.93
2600,"Nevada",6.17,59,-0.29,6.46
2700,"New Hampshire",25.35,72,0.53,24.82
2800,"New Jersey",32.62,116,6.5,26.12
2900,"New Mexico",5.09,16,-2.2,7.29
3000,"New York",24.15,84,1.2,22.95
3100,"North Carolina",33.27,103,3.48,29.79
3200,"North Dakota",11.86,70,0.45,11.41
3300,"Ohio",28.4,113,4.65,23.75
3400,"Oklahoma",19.78,55,-0.87,20.65
3500,"Oregon",15.57,32,-2.99,18.56
3600,"Pennsylvania",34.3,128,9.23,25.07
3700,"Rhode Island",29.91,104,4.24,25.67
3800,"South Carolina",28.59,65,-0.56,29.15
3900,"South Dakota",15.36,105,2.45,12.91
4000,"Tennessee",39.17,114,6.81,32.36
4100,"Texas",12.8,27,-2.87,15.67
4200,"Utah",5.87,25,-2.02,7.89
4300,"Vermont",24.36,77,0.79,23.57
4400,"Virginia",33.24,125,7.38,25.86
4500,"Washington",23.5,71,0.69,22.81
4600,"West Virginia",36.07,127,8.26,27.81
4700,"Wisconsin",19.41,82,1.3,18.11
4800,"Wyoming",11.47,91,1.08,10.39
