,State,Code,Pop17,Pop18,Pop21,Precip17,Precip18,Precip21,Temp17,Temp18,Temp21
0,Alabama,AL,4874486,4887681,5039877.0,43.9,34.23,42.51,65.7,64.0,63.0
1,Alaska,AK,739700,735139,732673.0,,,,,,
2,Arizona,AZ,7044008,7158024,7276316.0,7.29,5.18,6.53,62.2,62.7,61.4
3,Arkansas,AR,3001345,3009733,3025891.0,34.63,34.48,35.66,63.1,61.1,58.9
4,California,CA,39358497,39461588,39237836.0,23.85,12.1,7.6,59.1,59.4,59.8
5,Colorado,CO,5611885,5691287,5812069.0,13.21,8.84,11.26,47.6,47.7,45.5
6,Connecticut,CT,3573297,3571520,3605597.0,27.01,29.78,27.69,49.7,49.1,49.1
7,Delaware,DE,956823,965479,1003384.0,27.37,32.17,26.23,57.4,55.2,55.6
8,District of Columbia,DC,694906,701547,670050.0,,,,,,
9,Florida,FL,20963613,21244317,21781128.0,32.73,35.55,30.93,72.4,71.1,71.2
10,Georgia,GA,10410330,10511131,10799566.0,32.48,32.81,35.1,66.3,64.3,63.5
11,Hawaii,HI,1424393,1420593,1441553.0,,,,,,
12,Idaho,ID,1717715,1750536,1900923.0,18.95,14.63,9.95,43.8,44.7,45.1
13,Illinois,IL,12778828,12723071,12671469.0,26.47,26.04,25.63,54.8,51.5,51.2
14,Indiana,IN,6658078,6695497,6805985.0,31.24,28.81,26.63,54.4,51.4,51.1
15,Iowa,IA,3141550,3148618,3193079.0,20.16,22.02,17.69,50.2,46.6,47.7
16,Kansas,KS,2908718,2911359,2934582.0,20.08,15.33,18.31,56.9,54.8,53.4
17,Kentucky,KY,4452268,4461153,4509394.0,30.98,36.4,33.28,58.6,56.2,55.0
18,Louisiana,LA,4670560,4659690,4624047.0,41.07,33.36,46.69,69.3,67.6,65.7
19,Maine,ME,1334612,1339057,1372247.0,25.98,25.07,20.16,40.5,40.6,42.0
20,Maryland,MD,6023868,6035802,6165129.0,26.93,34.57,24.12,56.7,54.2,54.9
21,Massachusetts,MA,6859789,6882635,6984723.0,29.13,29.57,30.05,48.2,47.8,48.5
22,Michigan,MI,9973114,9984072,10050811.0,22.95,18.66,17.12,45.7,43.4,44.9
23,Minnesota,MN,5566230,5606249,5707390.0,14.87,16.7,10.16,42.7,39.6,42.6
24,Mississippi,MS,2988510,2981020,2949965.0,40.07,38.05,46.51,66.5,64.5,63.1
25,Missouri,MO,6106670,6121623,6168187.0,29.58,22.71,29.52,57.7,54.8,53.7
26,Montana,MT,1052482,1060665,1104271.0,10.29,14.07,7.69,43.3,40.1,43.3
27,Nebraska,NE,1915947,1925614,1963692.0,14.72,18.66,15.14,50.9,47.7,48.7
28,Nevada,NV,2969905,3027341,3143991.0,8.34,6.17,4.78,51.7,52.0,52.2
29,New Hampshire,NH,1348787,1353465,1388992.0,29.21,25.35,26.36,43.5,43.2,43.8
30,New Jersey,NJ,8885525,8886025,9267130.0,29.35,32.62,27.6,53.9,52.3,53.0
31,New Mexico,NM,2091784,2092741,2115877.0,8.11,5.09,7.56,56.3,56.5,54.2
32,New York,NY,19589572,19530351,19835913.0,30.63,24.15,24.11,45.9,44.4,45.1
33,North Carolina,NC,10268233,10381615,10551162.0,30.43,33.27,31.86,61.5,59.4,58.6
34,North Dakota,ND,754942,758080,774948.0,6.77,11.86,6.98,41.9,38.9,42.7
35,Ohio,OH,11659650,11676341,11780017.0,30.85,28.4,23.57,53.5,50.9,50.8
36,Oklahoma,OK,3931316,3940235,3986639.0,24.77,19.78,24.02,62.2,60.5,58.0
37,Oregon,OR,4143625,4181886,4246155.0,24.21,15.57,13.67,46.9,48.1,48.9
38,Pennsylvania,PA,12787641,12800922,12964056.0,31.03,34.3,24.48,50.4,48.0,48.9
39,Rhode Island,RI,1055673,1058287,1095610.0,31.12,29.91,27.0,49.9,49.7,50.1
40,South Carolina,SC,5021268,5084156,5190705.0,29.19,28.59,31.12,65.5,63.5,62.6
41,South Dakota,SD,872868,878698,895376.0,10.08,15.36,9.3,46.8,42.9,46.4
42,Tennessee,TN,6708799,6771631,6975218.0,34.68,39.17,35.3,60.8,58.5,57.4
43,Texas,TX,28295273,28628666,29527941.0,16.73,12.8,20.41,68.0,66.7,63.9
44,Utah,UT,3101042,3153550,3337975.0,9.25,5.87,5.84,50.5,51.0,50.2
45,Vermont,VT,624344,624358,645570.0,29.27,24.36,23.05,42.5,41.7,42.4
46,Virginia,VA,8463587,8501286,8642274.0,27.9,33.24,25.09,57.7,55.5,55.3
47,Washington,WA,7423362,7523869,7738692.0,28.23,23.5,19.22,45.7,47.9,48.5
48,West Virginia,WV,1817004,1804291,1782959.0,32.24,36.07,25.3,54.4,52.1,51.5
49,Wisconsin,WI,5790186,5807406,5895908.0,25.29,19.41,17.22,44.5,41.8,43.7
50,Wyoming,WY,578931,577601,578803.0,12.22,11.47,8.14,43.0,42.4,42.1
