January - July 2017 Contiguous U.S. Statewide Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
0100,"Alabama",65.7,126,3.0,62.7
0200,"Arizona",62.2,125,3.5,58.7
0300,"Arkansas",63.1,127,3.1,60
0400,"California",59.1,121,2.8,56.3
0500,"Colorado",47.6,124,3.7,43.9
0600,"Connecticut",49.7,120,3.1,46.6
0700,"Delaware",57.4,127,4.4,53
0800,"Florida",72.4,127,3.0,69.4
0900,"Georgia",66.3,127,3.2,63.1
1000,"Idaho",43.8,107,1.9,41.9
1100,"Illinois",54.8,126,4.1,50.7
1200,"Indiana",54.4,126,4.1,50.3
1300,"Iowa",50.2,122,3.7,46.5
1400,"Kansas",56.9,123,3.5,53.4
1500,"Kentucky",58.6,126,3.7,54.9
1600,"Louisiana",69.3,126,3.3,66
1700,"Maine",40.5,112,2.2,38.3
1800,"Maryland",56.7,127,4.0,52.7
1900,"Massachusetts",48.2,117,2.8,45.4
2000,"Michigan",45.7,122,3.8,41.9
2100,"Minnesota",42.7,121,3.8,38.9
2200,"Mississippi",66.5,127,3.2,63.3
2300,"Missouri",57.7,126,4.0,53.7
2400,"Montana",43.3,113,3.0,40.3
2500,"Nebraska",50.9,119,3.3,47.6
2600,"Nevada",51.7,117,3.0,48.7
2700,"New Hampshire",43.5,115,2.7,40.8
2800,"New Jersey",53.9,124,3.8,50.1
2900,"New Mexico",56.3,126,3.7,52.6
3000,"New York",45.9,119,3.1,42.8
3100,"North Carolina",61.5,128,3.5,58
3200,"North Dakota",41.9,109,3.4,38.5
3300,"Ohio",53.5,126,4.2,49.3
3400,"Oklahoma",62.2,126,3.2,59
3500,"Oregon",46.9,98,1.3,45.6
3600,"Pennsylvania",50.4,124,3.5,46.9
3700,"Rhode Island",49.9,116,3.1,46.8
3800,"South Carolina",65.5,128,3.5,62
3900,"South Dakota",46.8,116,3.3,43.5
4000,"Tennessee",60.8,127,3.6,57.2
4100,"Texas",68.0,127,3.7,64.3
4200,"Utah",50.5,123,3.6,46.9
4300,"Vermont",42.5,116,2.8,39.7
4400,"Virginia",57.7,127,3.6,54.1
4500,"Washington",45.7,68,0.1,45.6
4600,"West Virginia",54.4,127,3.6,50.8
4700,"Wisconsin",44.5,120,3.4,41.1
4800,"Wyoming",43.0,119,3.0,40
