,Year,State,City,Water security risk drivers,Estimated magnitude of potential impact,Risk description
1,2021,GA,City of Atlanta,Higher water prices,Serious,The water cost burden is felt across all ZIP codes and but most seriously affects low-income residents and communities where they are located.
17,2021,NY,New York City,Inadequate or ageing water supply infrastructure,Serious,"New York City’s drinking water meets orexceeds the highest quality standards.But lead can enter tap water throughhousehold plumbing, causing levels thatmay pose a health risk to young children."
31,2021,NV,City of Las Vegas,Increased water stress or scarcity,Extremely serious,"Lake Mead, which is 90% of Southern Nevada's supply,  is currently less than 40% of capacity, and continues to decline. Southern Nevada Water Authority officials have also been studying and have water rights in Eastern Nevada and will develop a groundwater importation project (pipeline) in the event water levels continue to decline."
35,2021,NV,City of Las Vegas,Increased water demand,Serious,"Water costs are higher due to infrastructure charges used to pay for new water projects, such as the third intake at Lake Mead. Even with conservation efforts, water costs have increased."
36,2021,NV,City of Las Vegas,Environmental regulations,Less serious,"Water restrictions have led to more conservation; however, if Lake Mead continues to decline, a Federally mandated cut in Southern Nevada's water allocation may occur, and nearly did during the 2015-2016."
37,2021,NV,City of Las Vegas,Drought,Extremely serious,"The City is currently experiencing a 20 year drought. According to climate scientists and SNWA, there is an 80 to 90 percentchance there will be another mutli-decade drought this century due to climate change. This hazard has the immediate effect of a shortfall of water supplies across all Colorado River water users; the long-term effect will also be economic and environmental"
38,2021,NV,City of Las Vegas,Energy supply issues,Less serious,"Due to the drought, there is less hydro capacity and generation at Hoover and Davis Dams as a result of lower water supplies."
46,2021,CA,City of Los Angeles,Increased water stress or scarcity,Serious,"Historic drought; although the state-wide California drought from 2014 to 2017 was recently declared over, the City anticipates being affected by future droughts. The California Governor has declared a drought for some areas of California in 2021. Although LA is not included, our water storage is dependent on future rainfall, which is not guaranteed. LA    is continuing public education and outreach on water conservation as a new way of life."
47,2021,CA,City of Los Angeles,Inadequate or ageing water supply infrastructure,Serious,"About one-fifth of the city's water pipes were installed before 1931 and nearly all will reach the end of their useful lives in the next 15 years. The Department of Water and Power (DWP) has assigned letter grades to water main pipes to prioritize replacement in the city’s 6,730-mile network. The Department is upgrading water infrastructure as part of a $6.3 billion five-year Water System capital plan (per DWP's 2017-2018 Water Infrastructure Plan) and has replaced 112 miles of old mainline pipe from January 2018 to June 2021 so far."
55,2021,LA,City of New Orleans,Inadequate or ageing water supply infrastructure,Serious,The city has aging and very energy dependent water infrastructure. It must be continuously maintained and upgraded.
63,2021,UT,City of Park City,Increased water stress or scarcity,Extremely serious,An increasing population coupled with increasing severity of drought is increasing water stress.
64,2021,UT,City of Park City,Drought,Serious,"Park City meets the water needs of the community from ground water (underground water fed by snowpack), and imported surface water. The majority of our sources are ground water sources. These include the Judge Tunnel, Spiro Tunnel, Park Meadows Well, Divide Well, and Middle School Well. The increased likelihood of low-snow years could put stress on one of these water sources.A winter drought resulting in a low-snow year has immediate economic and social impacts. This year Park City area is experiencing water stress due to drought."
104,2021,DC,District of Columbia,Inadequate or ageing water supply infrastructure,Serious,"The District's Climate Change Vulnerability Assessment reports that the District’s stormwater collection system may be exposed to more extreme and frequent flooding due to the predicted increase in heavy precipitation events, as well as inundation from sea level rise and storm surge. As a result, storm sewers that are at or above capacity may experience more frequent and intense interior flooding. Additionally, the stormwater and combined sewer outfalls that discharge to the Potomac and Anacostia rivers are at low elevations compared to mean sea level. As a result, they will also be susceptible to flooding from sea level rise and storm surge “backing up” through the piped infrastructure which could cause additional flooding in low lying areas."
226,2021,UT,Salt Lake City,Inadequate or ageing water supply infrastructure,Serious,"More rain, less snow, aging drainage systems, may lead to flooding and impacted water quality. Storm water is not treated prior to entering streams, rivers, and eventually the Great Salt Lake."
236,2021,PA,City of Philadelphia,Inadequate or ageing water supply infrastructure,Serious,"Much of Philadelphia's water infrastructure dates back to the 19th century. Based on preliminary analyses, several of the Philadelphia Water Department's drinking water and stormwater pumping stations could be vulnerable to flooding under certain scenarios."
283,2021,OH,City of Cleveland,Severe weather events,Less serious,"In Cleveland, we have not only witnessed increased precipitation over the last few decades, but also heavier rains. Under the higher-emissions scenario, Ohio’s spring rainfall is projected to increase almost 15 percent over the next several decades and about 30 percent toward the end of the century. Stormwater is a challenge for urban areas and parks in Cleveland. The 22,000-acre Emerald Necklace surrounding the metro area has become the region’s catch-basin for storm water runoff. Not only does this cause considerable damages to park properties, the runoff is also accelerating the erosion of hundreds of miles of waterways within the parks system, flushing around 45,000 tons of silt out into Lake Erie each year. Erosion-control problems can be found in at least 13 of the 17 reservations that make up the park system. At the same time, Greater Cleveland's earliest sewers (primarily within the city and its inner-ring suburbs) are combined sewers. Built around the turn of the 19th century, these sewers carry sewage, industrial waste, and stormwater in a single pipe. When heavy rain events occur, control devices may allow some of the flow (a combination of stormwater and sewage) to overflow into area waterways to prevent urban flooding and damage to wastewater treatment facilities. These events, or combined sewer overflows (CSOs), have resulted in a consent decree with the EPA."
284,2021,OH,City of Cleveland,Declining water quality,Less serious,"While Cleveland has seen incredible improvement in water quality over the last several decades, increases in precipitation and stormwater runoff pose a significant threat to water quality in the region. As noted above, increases in precipitation have led  to more flooding, combined sewer overflows, and delays in the planting of spring crops, which in turn have resulted in declining water quality in rivers, streams, and storage reservoirs. Some of this is the result of harmful algal blooms forming in the Western basin of Lake Erie, which may have impacts in the Cleveland region if they become too large."
304,2021,FL,City of Miami,Inadequate or ageing water supply infrastructure,Serious,"Dade County's Water & Sewer Capital Improvement Program focusing $6.8 million to improvements in water infrastructure with regards to issues of sea level rise, saltwater intrusion, and growing population density."
329,2021,CA,City of San José,Drought,Serious,"Over the past 120 years, California has become increasingly dry. The most recent drought from 2012 to 2016 was the most extreme since instrumental records began. Drought decreases the availability and quality of water for humans. This includes reduced water levels to fight wildfires. Drought may increase exposure to health hazards including wildfires, dust storms, extreme heat events, land subsidence, increased water pollution, erosion, degraded water quality, and reduced water quantity, degradation of watersheds, and alteration of ecosystems and loss of habitat. It can also lead to the emergence of new contagious and vector-borne disease. Our county is now again in drought conditions, and the Santa Clara Valley District has announced mandatory water restrictions, aiming for a 15% reduction in system-wide consumption compared to 2019. Retailers have increased outreach on water saving practices and materials in an effort to meet that goal."
455,2021,CA,City of Berkeley,Drought,Extremely serious,California has a history of droughts affecting water security throughout the state and record-warm temperatures caused by climate change have continued to exacerbate the drought.
482,2021,IN,City of Indianapolis,Inadequate or ageing water supply infrastructure,Serious,"The City of Indianapolis covers 400 square miles, and the average age of the water and storm water infrastructure has been steadily climbing for years. The City recently increased the storm water fee to help address the backlog of aged storm water infrastructure. The drinking water system is facing a similar problem."
