,Year,State,Freq,Pop,Precip,Temp
0,2021,AL,1,5039877.0,42.51,63.0
95,2021,CO,2,5812069.0,11.26,45.5
93,2021,AZ,1,7276316.0,6.53,61.4
77,2021,NV,1,3143991.0,4.78,52.2
76,2021,NM,1,2115877.0,7.56,54.2
75,2021,CA,1,39237836.0,7.6,59.8
71,2021,NJ,1,9267130.0,27.6,53.0
70,2021,MN,1,5707390.0,10.16,42.6
69,2021,UT,1,3337975.0,5.84,50.2
68,2021,TN,1,6975218.0,35.3,57.4
67,2021,PA,1,12964056.0,24.48,48.9
66,2021,NY,1,19835913.0,24.11,45.1
65,2021,NJ,1,9267130.0,27.6,53.0
64,2021,MO,1,6168187.0,29.52,53.7
63,2021,MI,1,10050811.0,17.12,44.9
62,2021,LA,1,4624047.0,46.69,65.7
61,2021,IN,1,6805985.0,26.63,51.1
60,2021,FL,1,21781128.0,30.93,71.2
58,2021,CA,3,39237836.0,7.6,59.8
94,2021,CA,5,39237836.0,7.6,59.8
96,2021,FL,1,21781128.0,30.93,71.2
41,2021,GA,1,10799566.0,35.1,63.5
97,2021,NV,1,3143991.0,4.78,52.2
116,2021,WI,1,5895908.0,17.22,43.7
115,2021,PA,1,12964056.0,24.48,48.9
114,2021,OH,1,11780017.0,23.57,50.8
113,2021,NJ,1,9267130.0,27.6,53.0
112,2021,IA,1,3193079.0,17.69,47.7
111,2021,FL,1,21781128.0,30.93,71.2
110,2021,CO,2,5812069.0,11.26,45.5
107,2021,WI,1,5895908.0,17.22,43.7
106,2021,NV,1,3143991.0,4.78,52.2
105,2021,NJ,1,9267130.0,27.6,53.0
104,2021,NC,1,10551162.0,31.86,58.6
103,2021,IN,1,6805985.0,26.63,51.1
102,2021,IL,1,12671469.0,25.63,51.2
101,2021,MN,1,5707390.0,10.16,42.6
100,2021,IN,1,6805985.0,26.63,51.1
99,2021,UT,1,3337975.0,5.84,50.2
98,2021,TN,1,6975218.0,35.3,57.4
42,2021,PA,1,12964056.0,24.48,48.9
59,2021,DC,1,670050.0,42.57,60.4
40,2021,CA,3,39237836.0,7.6,59.8
15,2021,NJ,1,9267130.0,27.6,53.0
23,2021,UT,2,3337975.0,5.84,50.2
28,2021,CA,1,39237836.0,7.6,59.8
27,2021,NV,1,3143991.0,4.78,52.2
26,2021,HI,1,1441553.0,43.97,77.3
24,2021,MN,1,5707390.0,10.16,42.6
39,2021,AL,1,5039877.0,42.51,63.0
12,2021,CO,2,5812069.0,11.26,45.5
13,2021,FL,1,21781128.0,30.93,71.2
29,2021,NV,1,3143991.0,4.78,52.2
14,2021,NC,1,10551162.0,31.86,58.6
16,2021,OH,1,11780017.0,23.57,50.8
17,2021,TN,1,6975218.0,35.3,57.4
18,2021,WI,1,5895908.0,17.22,43.7
19,2021,CA,4,39237836.0,7.6,59.8
20,2021,CO,2,5812069.0,11.26,45.5
21,2021,NM,1,2115877.0,7.56,54.2
22,2021,NV,2,3143991.0,4.78,52.2
11,2021,CA,1,39237836.0,7.6,59.8
25,2018,HI,1,1420593.0,41.79,78.2
74,2018,NV,1,3027341.0,6.17,52.0
73,2018,NM,1,2092741.0,5.09,56.5
72,2018,CA,2,39461588.0,12.1,59.4
89,2018,CA,6,39461588.0,12.1,59.4
90,2018,NM,1,2092741.0,5.09,56.5
91,2018,NV,1,3027341.0,6.17,52.0
10,2018,TN,1,6771631.0,39.17,58.5
9,2018,OH,1,11676341.0,28.4,50.9
55,2018,TN,1,6771631.0,39.17,58.5
48,2018,CA,1,39461588.0,12.1,59.4
49,2018,DC,1,701547.0,68.05,59.8
50,2018,IN,1,6695497.0,28.81,51.4
51,2018,LA,1,4659690.0,33.36,67.6
52,2018,MO,1,6121623.0,22.71,54.8
53,2018,NC,1,10381615.0,33.27,59.4
108,2018,CA,1,39461588.0,12.1,59.4
54,2018,OH,1,11676341.0,28.4,50.9
56,2018,UT,1,3153550.0,5.87,51.0
57,2018,WI,1,5807406.0,19.41,41.8
38,2018,GA,1,10511131.0,32.81,64.3
37,2018,CA,4,39461588.0,12.1,59.4
7,2018,CA,1,39461588.0,12.1,59.4
8,2018,LA,1,4659690.0,33.36,67.6
109,2018,NV,1,3027341.0,6.17,52.0
92,2018,TN,1,6771631.0,39.17,58.5
6,2017,TN,1,6708799.0,34.68,60.8
5,2017,PA,1,12787641.0,31.03,50.4
4,2017,OH,1,11659650.0,30.85,53.5
3,2017,NV,1,2969905.0,8.34,51.7
2,2017,CO,2,5611885.0,13.21,47.6
80,2017,FL,1,20963613.0,32.73,72.4
88,2017,VA,1,8463587.0,27.9,57.7
87,2017,UT,1,3101042.0,9.25,50.5
44,2017,DC,1,694906.0,41.07,60.8
45,2017,IN,1,6658078.0,31.24,54.4
46,2017,NC,1,10268233.0,30.43,61.5
47,2017,UT,1,3101042.0,9.25,50.5
1,2017,CA,1,39358497.0,23.85,59.1
36,2017,PA,1,12787641.0,31.03,50.4
35,2017,CA,2,39358497.0,23.85,59.1
34,2017,VA,1,8463587.0,27.9,57.7
33,2017,TX,1,28295273.0,16.73,68.0
32,2017,PA,2,12787641.0,31.03,50.4
31,2017,NV,1,2969905.0,8.34,51.7
30,2017,CA,2,39358497.0,23.85,59.1
78,2017,AZ,1,7044008.0,7.29,62.2
79,2017,CA,8,39358497.0,23.85,59.1
43,2017,CA,3,39358497.0,23.85,59.1
81,2017,NV,1,2969905.0,8.34,51.7
82,2017,NY,2,19589572.0,30.63,45.9
83,2017,OH,1,11659650.0,30.85,53.5
84,2017,PA,2,12787641.0,31.03,50.4
85,2017,TN,1,6708799.0,34.68,60.8
86,2017,TX,1,28295273.0,16.73,68.0
117,2017,TN,1,6708799.0,34.68,60.8
