,Risk,2017,2018,2021
0,Change in land-use,0,0,1
1,Declining water quality,7,4,9
2,Drought,0,0,11
3,Ecosystem vulnerability,0,0,1
4,Energy supply issues,0,1,2
5,Environmental regulations,0,0,2
6,Flooding,7,0,0
7,Higher water prices,3,5,6
8,Inadequate or ageing water supply infrastructure,7,10,14
9,Increased levels of plastic in freshwater bodies,0,0,2
10,Increased water demand,0,4,3
11,Increased water stress or scarcity,20,9,12
12,Cyber Security,0,0,1
13,Radium in water,0,0,1
14,Pollution incidents,0,0,6
15,Regulatory,0,2,0
16,Severe weather events,0,0,8
17,Water losses,1,0,0
